date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-17,83.88,85.42,82.9,84.8,84.86,6234725,6234725,0.925,1.1,84.265,"April 17, 25",0.011
2025-04-16,82.81,85.3,81.68,83.36,83.36,5842300,5842300,0.555,0.66417,83.2875,"April 16, 25",0.0066417
2025-04-15,84.62,86.9,84.32,85.49,85.49,5728840,5728840,0.87,1.03,85.3325,"April 15, 25",0.0103
2025-04-14,89.29,89.29,84.01,85.19,85.19,12355200,12355200,-4.1,-4.59,86.945,"April 14, 25",-0.0459
2025-04-11,78.6,82.92,77.96,81.93,81.93,8667626,8667626,3.33,4.24,80.3525,"April 11, 25",0.0424
2025-04-10,80.2,81.03,75.94,78.94,78.94,11279300,11279300,-1.26,-1.57,79.0275,"April 10, 25",-0.0157
2025-04-09,72.56,85.47,71.12,84.19,84.19,18160000,18160000,11.63,16.03,78.335,"April 09, 25",0.1603
2025-04-08,77.5,79.46,71.0,72.59,72.59,12924100,12924100,-4.91,-6.34,75.1375,"April 08, 25",-0.0634
2025-04-07,68.0,77.3,66.25,75.0,75.0,15538442,15538442,7.0,10.29,71.6375,"April 07, 25",0.1029
2025-04-04,74.66,74.94,69.42,71.63,71.63,17449146,17449146,-3.03,-4.06,72.6625,"April 04, 25",-0.0406
2025-04-03,85.75,86.21,76.72,77.23,77.23,30868525,30868525,-8.52,-9.94,81.4775,"April 03, 25",-0.0994
2025-04-02,89.97,95.72,89.83,95.33,95.33,6245800,6245800,5.36,5.96,92.7125,"April 02, 25",0.0596
2025-04-01,91.28,92.8,89.71,91.96,91.96,5716711,5716711,0.68,0.74496,91.4375,"April 01, 25",0.0074496
2025-03-31,89.27,91.21,88.4,91.15,91.15,7286218,7286218,1.88,2.11,90.0075,"March 31, 25",0.0211
2025-03-28,94.38,95.56,91.51,92.29,92.29,7225203,7225203,-2.09,-2.21,93.435,"March 28, 25",-0.0221
2025-03-27,95.02,98.37,93.6,97.1,97.1,7537800,7537800,2.08,2.19,96.0225,"March 27, 25",0.0219
2025-03-26,98.74,100.55,95.6,96.26,96.26,5814200,5814200,-2.48,-2.51,97.7875,"March 26, 25",-0.0251
2025-03-25,100.31,101.3,98.51,98.86,98.86,4807330,4807330,-1.45,-1.45,99.745,"March 25, 25",-0.0145
2025-03-24,100.0,101.52,99.29,99.81,99.81,6491800,6491800,-0.19,-0.19,100.155,"March 24, 25",-0.0019
2025-03-21,98.08,98.42,96.4,97.57,97.57,8911100,8911100,-0.51,-0.51998,97.6175,"March 21, 25",-0.0051998
2025-03-20,97.96,101.42,97.9,98.92,98.92,4924513,4924513,0.96,0.97999,99.05,"March 20, 25",0.0097999
