date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-17,505.25,507.3,498.01,501.48,501.48,14510631,14510631,-3.77,-0.74617,503.01,"April 17, 25",-0.0074617
2025-04-16,508.51,513.37,495.63,502.31,502.31,18735100,18735100,-6.2,-1.22,504.955,"April 16, 25",-0.0122
2025-04-15,532.11,537.94,517.5,521.52,521.52,15558700,15558700,-10.59,-1.99,527.2675,"April 15, 25",-0.0199
2025-04-14,556.17,557.77,528.28,531.48,531.48,14130928,14130928,-24.69,-4.44,543.425,"April 14, 25",-0.0444
2025-04-11,535.51,547.4,528.59,543.57,543.57,17642327,17642327,8.07,1.51,538.7675,"April 11, 25",0.0151
2025-04-10,575.49,581.3,535.3,546.29,546.29,28173500,28173500,-29.2,-5.07,559.595,"April 10, 25",-0.0507
2025-04-09,509.27,587.89,502.11,585.77,585.77,39216600,39216600,76.51,15.02,546.26,"April 09, 25",0.1502
2025-04-08,543.25,547.43,502.86,510.45,510.45,28034211,28034211,-32.8,-6.04,525.9975,"April 08, 25",-0.0604
2025-04-07,485.1,539.37,481.9,516.25,516.25,36606136,36606136,31.15,6.42,505.655,"April 07, 25",0.0642
2025-04-04,506.62,518.0,494.2,504.73,504.73,38589814,38589814,-1.89,-0.37306,505.8875,"April 04, 25",-0.0037306
2025-04-03,546.22,552.56,530.3,531.62,531.62,34777500,34777500,-14.6,-2.67,540.175,"April 03, 25",-0.0267
2025-04-02,574.91,592.66,573.36,583.93,583.93,13470800,13470800,9.02,1.57,581.215,"April 02, 25",0.0157
2025-04-01,570.84,589.91,570.0,586.0,586.0,12836600,12836600,15.16,2.66,579.1875,"April 01, 25",0.0266
2025-03-31,563.5,578.7,553.3,576.36,576.36,21124700,21124700,12.86,2.28,567.965,"March 31, 25",0.0228
2025-03-28,600.31,601.75,573.92,576.74,576.74,17602823,17602823,-23.57,-3.93,588.18,"March 28, 25",-0.0393
2025-03-27,602.0,614.25,600.1,602.58,602.58,10436524,10436524,0.58,0.09634551,604.7325,"March 27, 25",0.0009634551
2025-03-26,624.89,626.75,606.61,610.98,610.98,12661900,12661900,-13.91,-2.23,617.3075,"March 26, 25",-0.0223
