date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-17,243.47,244.34,237.68,241.37,241.37,82150841,82150841,-2.1,-0.86253,241.715,"April 17, 25",-0.0086253
2025-04-16,247.61,251.97,233.89,241.55,241.55,112378737,112378737,-6.06,-2.45,243.755,"April 16, 25",-0.0245
2025-04-15,249.91,258.75,247.54,254.11,254.11,79594318,79594318,4.2,1.68,252.5775,"April 15, 25",0.0168
2025-04-14,258.36,261.8,245.93,252.35,252.35,100135241,100135241,-6.01,-2.33,254.61,"April 14, 25",-0.0233
2025-04-11,251.84,257.74,241.36,252.31,252.31,128948100,128948100,0.47,0.18663,250.8125,"April 11, 25",0.0018663
2025-04-10,260.0,262.49,239.33,252.4,252.4,181722604,181722604,-7.6,-2.92,253.555,"April 10, 25",-0.0292
2025-04-09,224.69,274.69,223.88,272.2,272.2,219433400,219433400,47.51,21.14,248.865,"April 09, 25",0.2114
2025-04-08,245.0,250.44,217.8,221.86,221.86,171603500,171603500,-23.14,-9.44,233.775,"April 08, 25",-0.0944
2025-04-07,223.78,252.0,214.25,233.29,233.29,183453800,183453800,9.51,4.25,230.83,"April 07, 25",0.0425
2025-04-04,255.38,261.0,236.0,239.43,239.43,181229400,181229400,-15.95,-6.25,247.9525,"April 04, 25",-0.0625
2025-04-03,265.29,276.3,261.51,267.28,267.28,136174300,136174300,1.99,0.75012,267.595,"April 03, 25",0.0075012
2025-04-02,254.6,284.99,251.27,282.76,282.76,212787817,212787817,28.16,11.06,268.405,"April 02, 25",0.1106
2025-04-01,263.8,277.45,259.25,268.46,268.46,146486911,146486911,4.66,1.77,267.24,"April 01, 25",0.0177
2025-03-31,249.31,260.56,243.36,259.16,259.16,134008936,134008936,9.85,3.95,253.0975,"March 31, 25",0.0395
2025-03-28,275.58,276.1,260.57,263.55,263.55,123809400,123809400,-12.02,-4.37,268.95,"March 28, 25",-0.0437
2025-03-27,272.48,291.85,271.82,273.13,273.13,162572146,162572146,0.65,0.23855,277.32,"March 27, 25",0.0023855
2025-03-26,282.66,284.9,266.51,272.06,272.06,156254441,156254441,-10.6,-3.75,276.5325,"March 26, 25",-0.0375
2025-03-25,283.6,288.2,271.28,288.14,288.14,150361538,150361538,4.54,1.6,282.805,"March 25, 25",0.016
2025-03-24,258.08,278.64,256.33,278.39,278.39,169079900,169079900,20.31,7.87,267.86,"March 24, 25",0.0787
2025-03-21,234.99,249.52,234.55,248.71,248.71,132728700,132728700,13.72,5.84,241.9425,"March 21, 25",0.0584
2025-03-20,233.35,238.0,230.05,236.26,236.26,99028300,99028300,2.91,1.25,234.415,"March 20, 25",0.0125
2025-03-19,231.61,241.41,229.2,235.86,235.86,111993800,111993800,4.25,1.83,234.52,"March 19, 25",0.0183
2025-03-18,228.16,230.1,222.28,225.31,225.31,111477636,111477636,-2.84,-1.25,226.4625,"March 18, 25",-0.0125
2025-03-17,245.06,245.4,232.8,238.01,238.01,111900600,111900600,-7.05,-2.88,240.3175,"March 17, 25",-0.0288
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300,100242300,2.67,1.08,247.4,"March 14, 25",0.0108
2025-03-13,248.13,248.29,232.6,240.68,240.68,114813525,114813525,-7.44,-3.0,242.425,"March 13, 25",-0.03
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215700,142215700,0.87,0.35191,247.0625,"March 12, 25",0.0035191
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896415,174896415,5.28,2.34,227.4925,"March 11, 25",0.0234
2025-03-10,252.54,253.37,220.0,222.15,222.15,189076948,189076948,-30.38,-12.03,237.015,"March 10, 25",-0.1203
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369640,102369640,3.35,1.29,259.7425,"March 07, 25",0.0129
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600,98451600,-8.61,-3.16,267.045,"March 06, 25",-0.0316
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042913,94042913,6.18,2.26,274.82,"March 05, 25",0.0226
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706623,126706623,1.11,0.4097,272.29,"March 04, 25",0.004097
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551414,115551414,-15.69,-5.22,291.5575,"March 03, 25",-0.0522
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000,115697000,13.48,4.82,284.99,"February 28, 25",0.0482
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748200,101748200,-9.21,-3.16,287.805,"February 27, 25",-0.0316
2025-02-26,303.71,309.0,288.04,290.8,290.8,100118300,100118300,-12.91,-4.25,297.8875,"February 26, 25",-0.0425
2025-02-25,327.02,328.89,297.25,302.8,302.8,134228800,134228800,-24.22,-7.41,313.99,"February 25, 25",-0.0741
2025-02-24,338.14,342.4,324.7,330.53,330.53,76052321,76052321,-7.61,-2.25,333.9425,"February 24, 25",-0.0225
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058648,74058648,-15.64,-4.43,345.16,"February 21, 25",-0.0443
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965400,45965400,-7.11,-1.97,356.5525,"February 20, 25",-0.0197
